ts	phase	decision	why	evidence	result
2026-08-21T20:00:46Z	program	full P0-P4 slim/modern program approved with handoff written first	user mandate: rules are guardrails not a ceiling; no global.json, no new MCPs, usings sweep full	docs/superpowers/plans/2026-08-21-global-usings-slim-modern.md	plan saved

2026-08-21T20:17:11Z	P0	baseline evidence complete: 0 deletable dead symbols, 0 unused project refs, 0 package drift, all 16 pins at latest stable, C# 14 surface small (no Span/Memory params, 4 collection literals, 365 underscore fields)	subagent runs for health+packages, re-verified in main session with Glider (blast-radius rule)	docs/reports/slim-baseline-20260821.md, docs/reports/slim-baseline-health-20260821.md, docs/reports/slim-baseline-packages-20260821.md	P2 = 1 line delete; P3 = no package upgrades
2026-08-21T20:24:52Z	P1	sweep script fixed twice: -File array params bind comma lists as one string (script now reads <Using> items from the csproj itself), and BOM-less ps1 em-dashes broke PS 5.1 ANSI parse (script now pure ASCII)	both failures found by a 0-removal result that contradicted the measured baseline	scripts/sweep-global-usings.ps1 (durable copy committed with the program; Temp copy is the working original)	Core sweep removed the expected 15 lines
2026-08-21T20:24:52Z	P1	test gate must not use --no-build with the temp BaseOutputPath: it ran the previous session's stale artifacts instead of the changed tree	blast-radius rule: the gate must test what was just changed	dotnet test -v q run (fresh build into temp output)	1621/1621 green on the true artifacts; Sdk commit gate retro-confirmed
2026-08-21T20:27:46Z	P1	third sweep-script bug: single-global projects hit scalar string + array concatenation in PS (the set became one joined string, 0 removals); fixed with @() wrap, re-verified Hardware removes exactly 8	a 0-removal result that contradicted the measured baseline is the detection pattern for this lever	scripts/sweep-global-usings.ps1 (durable copy committed with the program; Temp copy is the working original)	8 removed, build+format+1621 tests green
2026-08-21T20:40:15Z	P1	WPF temp-project rule found: the XAML markup pass compiles a wpftmp project that does not apply ImplicitUsings, so App/Tests keep explicit baseline usings; the sweep script now derives this from the csproj (no mode flag to get wrong)	first App sweep attempt failed the build with CS0246 HttpClient; reverted the .cs files and rebuilt the rule into the script	commit 436b81a (App green after fix), wmd-sweep-usings.ps1	all 6 projects swept: 414 using lines out (1217 -> 803), each project commit build+test+format green
2026-08-21T20:40:15Z	P1	convention encoded in dotnet-rules.md section 1 and the project-structure skill (per-csproj <Using> items, WPF baseline rule)	future AI files must come out tight and the WPF trap must not be re-discovered	.opencode/rules/dotnet-rules.md, .opencode/skills/project-structure/SKILL.md	green: format gate 0, re-verified by the 35fd28f drift check (see the persistence-caveat row for the .opencode/ local-only scope)
2026-08-21T21:53:31Z	P4	final review gate: OCR timed out at 3600s on the 340-file mechanical diff; the code-reviewer agent covered the same scope semantically (all 240 removal files checked against their project global sets, zero cross-namespace type collisions, csproj sets exact, editorconfig pins verified suggestion-only, test conversions proven equivalent, no scope creep)	OCR's budget is spent on mechanical using removals the compiler already proved; the reviewer's verification was the load-bearing gate	code-reviewer final report, commits 3c11365..690e1f2	no BLOCKER/MAJOR; 1 MINOR + 1 NIT
2026-08-21T21:53:31Z	P4	fixed the reviewer's MINOR: 103 files started with a blank line where the sweep removed their whole using block; one-shot strip, full gate green	reviewer's findings are acted on, not waived (house rule: prove by running)	commit 690e1f2	build+format+1621 tests green
2026-08-21T21:53:31Z	P4	rules-check-drift over 50745c8..HEAD: one factual drift (CONTEXT.md test count 1614->1621) fixed; rules set otherwise verified true	wrong rules are worse than missing rules	commit 35fd28f	rules set accurate for the range
2026-08-21T22:03:57Z	P2 (backfilled)	P2 slim pass: 0 deletable dead symbols, 0 unused ProjectReference/PackageReference entries, 0 version drift (P0 evidence) - the only deletion was the redundant <AssemblyName> in Hardware csproj, folded into its sweep commit	P0 measured all six dead-code checks; P2's job was executing the findings	docs/reports/slim-baseline-20260821.md, commit 86650bd	1 line deleted; the 1621-test gate (assembly referenced by name) proved output identity unchanged
