ts	phase	decision	why	evidence	result
2026-09-08T11:45:00Z	frame	fix all 7 architecture-review candidates, one at a time, gate after each	user directive; report at C:\Users\tobia\AppData\Local\Temp\architecture-review-20260908-1132.html	report c1-c7	baseline green (gates.tsv last row ok at 4d6bea8)
2026-09-08T15:43:00Z	c1	extracted NowPlayingRenderer (draw module) from NowPlayingWidget; widget now a thin adapter	house pattern (WeatherWidgetRenderer precedent); paint decisions + hoisted paints + cached icon paths move behind one interface	commit f24c23a, NowPlayingRendererTests (6 new tests at the renderer interface), gate green 2245/2245	green
2026-09-08T15:48:30Z	c2	extracted WidgetRehydrator (create/init/property/dispose sequencing) from ProfileOps; ProfileOps keeps page CRUD + file boundary, RehydrateWidget stays a forward	deepest part of the widest Core surface now has a direct test surface without an import round-trip; sync-over-async allow-list entry moved to the new file (drift-checked both directions)	commit pending, WidgetRehydratorTests (7 new tests at the module interface), gate green 2252/2252	green
2026-09-08T15:56:00Z	c3	extracted StandbyVerdict (the verdict vocabulary) from DisplayDeviceEngine; both entry points (TryGoToStandby + Dispose) now route through it	one spelling of the load-bearing NOT-confirmed lines, pinned at the module interface without an engine or transport; the failure-line precedence (error wins over not-confirmed) is preserved and pinned by the existing engine-level tests	commit pending, StandbyVerdictTests (5 new tests), gate green 2257/2257	green
2026-09-08T15:57:30Z	c4	extracted TypefaceResolver (the fallback ladder) from FontHelper; FontHelper binds the production probes and routes every cache miss through it	one spelling of the codepoint?typeface resolution policy, pinned at the module interface without native calls or a real font store; the early-out rule and the MatchCharacter-throws degradation are assertable where they live	commit pending, TypefaceResolverTests (7 new tests), gate green 2264/2264	green
2026-09-08T15:58:50Z	c5a	extracted SelectionPolicy (the same-reference early-out) from MainWindow; the window routes every selection change through it first	one spelling of the re-entrancy guard, pinned at the module interface without a window or compositor; the existing ProfileMutationContractTests still cover the end-to-end behavior on a live STA window	commit pending, SelectionPolicyTests (5 new tests), gate green 2269/2269	green
2026-09-08T16:00:15Z	c5b	extracted StartupMinimizeLatchPolicy (the one-shot latch) from WindowLifecycle; the lifecycle module routes every arm/clear/consume through it	one spelling of the ADR-0019 one-shot semantics, pinned at the module interface without a window or WPF events; the existing WindowAutostartTests still cover the end-to-end behavior on a live STA window	commit pending, StartupMinimizeLatchPolicyTests (5 new tests), gate green 2274/2274	green
2026-09-08T16:01:30Z	c6	extracted NextImageIndex (the tap-to-cycle wrap rule) into PictureSourcePolicy; the widget routes every cycle advance through it	one spelling of the index wrap, pinned at the policy interface without the filesystem or a render tick; the existing PictureSourcePolicyTests now cover the new entry point	commit pending, 2 new tests in PictureSourcePolicyTests, gate green 2276/2276	green
2026-09-08T16:02:45Z	c7	pinned the IconPickerModel custom-file accept verdict at its interface (the non-blank, non-catalog path is accepted as-is; whitespace-only is refused)	one spelling of the accept rule, now assertable where it lives; the existing tests still cover the named and blank cases	commit pending, 2 new tests in IconPickerModelTests, gate green 2278/2278	green
2026-09-08T16:03:30Z	docs	fixed CONTEXT.md drift: WeatherFetchControl references corrected to WeatherClient (the module that actually owns the fetch-control state machine)	CONTEXT.md now matches the codebase; no functional change	commit pending, gate green 2278/2278	green
2026-09-08T16:08:30Z	docs	fixed CONTEXT.md drift: WeatherFetchControl references corrected to WeatherClient (the module that actually owns the fetch-control state machine)	CONTEXT.md now matches the codebase; no functional change	commit pending, gate green 2278/2278	green
